heightmap_id,category,terrace_steps,steps_4,steps_6,steps_8,steps_10,steps_12,steps_16,gamma,edge_sigma,morph_strength,contrast,homogeneity,energy,correlation,entropy,height_mean,height_std,hist_entropy,gradient_mean
Bark__bark 01_height,Bark,8,0,0,1,0,0,0,1.500000,3.000000,1.000000,5.733455,0.672133,0.102510,0.980551,3.120724,0.426823,0.192577,5.925705,0.009562
Bark__bark 01_height,Bark,8,0,0,1,0,0,0,2.000000,1.500000,2.000000,4.488166,0.814038,0.185344,0.980231,2.919958,0.502162,0.169240,5.522979,0.006178
Bark__bark 01_height,Bark,8,0,0,1,0,0,0,2.000000,4.500000,0.500000,6.782356,0.578090,0.088311,0.978207,3.023053,0.268950,0.197410,6.000000,0.011906
Bark__bark 01_height,Bark,10,0,0,0,1,0,0,0.500000,0.500000,0.500000,7.279793,0.743552,0.255716,0.956704,1.393869,0.706822,0.144281,4.185994,0.010262
Bark__bark 01_height,Bark,10,0,0,0,1,0,0,0.500000,3.000000,2.000000,0.713273,0.877560,0.240769,0.982580,0.738813,0.817896,0.071417,2.779208,0.002508
Bark__bark 01_height,Bark,10,0,0,0,1,0,0,0.500000,4.500000,2.000000,0.661276,0.873514,0.230790,0.984131,0.725630,0.793929,0.072001,2.988285,0.002513
Bark__bark 01_height,Bark,10,0,0,0,1,0,0,0.500000,0.500000,2.000000,1.602541,0.938071,0.573459,0.962760,0.342169,0.847964,0.072637,1.811278,0.002419
Bark__bark 01_height,Bark,10,0,0,0,1,0,0,1.000000,1.500000,0.500000,9.247588,0.576366,0.088350,0.970171,3.590375,0.505041,0.196985,5.968750,0.013721
Bark__bark 01_height,Bark,10,0,0,0,1,0,0,1.000000,4.500000,2.000000,1.597684,0.830228,0.200485,0.984571,1.548726,0.635206,0.114097,4.649397,0.004015
Bark__bark 01_height,Bark,10,0,0,0,1,0,0,1.500000,0.500000,1.500000,6.328447,0.819566,0.267616,0.975301,1.562464,0.540276,0.179071,3.994032,0.007738
Bark__bark 01_height,Bark,10,0,0,0,1,0,0,1.500000,1.500000,2.000000,3.322539,0.826699,0.225658,0.980496,2.370947,0.591942,0.145510,4.827209,0.005303
Bark__bark 01_height,Bark,10,0,0,0,1,0,0,1.500000,3.000000,1.000000,5.603656,0.673622,0.101628,0.980559,3.061920,0.426665,0.190360,5.875000,0.009435
Bark__bark 01_height,Bark,10,0,0,0,1,0,0,2.000000,1.500000,2.000000,4.231111,0.816580,0.202393,0.980471,2.842993,0.502582,0.164066,5.327820,0.005956
Bark__bark 01_height,Bark,10,0,0,0,1,0,0,2.000000,4.500000,0.500000,6.624823,0.581333,0.088920,0.978186,3.008394,0.268804,0.195028,5.968750,0.011730
Bark__bark 01_height,Bark,12,0,0,0,0,1,0,0.500000,0.500000,0.500000,6.513260,0.736127,0.249157,0.960096,1.424224,0.706026,0.142635,4.527521,0.010031
Bark__bark 01_height,Bark,12,0,0,0,0,1,0,0.500000,3.000000,2.000000,0.707016,0.876649,0.241253,0.983048,0.757590,0.813481,0.071348,2.779208,0.002503
Bark__bark 01_height,Bark,12,0,0,0,0,1,0,0.500000,4.500000,2.000000,0.651422,0.874621,0.237911,0.984333,0.750296,0.792015,0.071146,2.988285,0.002464
Bark__bark 01_height,Bark,12,0,0,0,0,1,0,0.500000,0.500000,2.000000,1.449835,0.918609,0.450135,0.970840,0.367751,0.846517,0.076340,1.920849,0.002606
Bark__bark 01_height,Bark,12,0,0,0,0,1,0,1.000000,1.500000,0.500000,9.161619,0.569971,0.079945,0.970490,3.606522,0.504684,0.197161,6.000000,0.013754
Bark__bark 01_height,Bark,12,0,0,0,0,1,0,1.000000,4.500000,2.000000,1.588777,0.830684,0.186916,0.984530,1.544499,0.634998,0.113742,4.649397,0.004004
Bark__bark 01_height,Bark,12,0,0,0,0,1,0,1.500000,0.500000,1.500000,5.965674,0.809007,0.268733,0.976603,1.728364,0.539383,0.177710,4.575102,0.007677
Bark__bark 01_height,Bark,12,0,0,0,0,1,0,1.500000,1.500000,2.000000,3.147967,0.825114,0.178569,0.981271,2.396004,0.590309,0.144764,4.914268,0.005196
Bark__bark 01_height,Bark,12,0,0,0,0,1,0,1.500000,3.000000,1.000000,5.523594,0.674406,0.103337,0.980775,3.050004,0.426189,0.190248,5.875000,0.009404
Bark__bark 01_height,Bark,12,0,0,0,0,1,0,2.000000,1.500000,2.000000,4.145203,0.814031,0.172938,0.980344,2.842655,0.502543,0.162362,5.405410,0.005943
Bark__bark 01_height,Bark,12,0,0,0,0,1,0,2.000000,4.500000,0.500000,6.529592,0.585478,0.090804,0.978021,2.925604,0.269285,0.192962,5.968750,0.011626
Bark__bark 01_height,Bark,16,0,0,0,0,0,1,0.500000,0.500000,0.500000,5.690422,0.691736,0.182513,0.964982,1.667555,0.705742,0.142414,4.851768,0.010143
Bark__bark 01_height,Bark,16,0,0,0,0,0,1,0.500000,3.000000,2.000000,0.686970,0.878454,0.243404,0.983074,0.788435,0.813897,0.071083,2.884043,0.002486
Bark__bark 01_height,Bark,16,0,0,0,0,0,1,0.500000,4.500000,2.000000,0.643631,0.875128,0.235412,0.984314,0.768582,0.791891,0.071419,3.091917,0.002477
Bark__bark 01_height,Bark,16,0,0,0,0,0,1,0.500000,0.500000,2.000000,1.031952,0.913166,0.449816,0.973564,0.464665,0.844464,0.068965,1.920849,0.002399
Bark__bark 01_height,Bark,16,0,0,0,0,0,1,1.000000,1.500000,0.500000,8.963266,0.570188,0.075674,0.970782,3.592758,0.504371,0.196142,5.968750,0.013607
Bark__bark 01_height,Bark,16,0,0,0,0,0,1,1.000000,4.500000,2.000000,1.541498,0.831243,0.185646,0.984612,1.506230,0.633828,0.112359,4.558771,0.003952
Bark__bark 01_height,Bark,16,0,0,0,0,0,1,1.500000,0.500000,1.500000,5.263461,0.791934,0.206253,0.978084,1.946195,0.540597,0.173242,4.795959,0.007495
Bark__bark 01_height,Bark,16,0,0,0,0,0,1,1.500000,1.500000,2.000000,3.079444,0.823325,0.189915,0.981082,2.354749,0.589536,0.142939,5.000000,0.005194
Bark__bark 01_height,Bark,16,0,0,0,0,0,1,1.500000,3.000000,1.000000,5.447863,0.676419,0.102542,0.980561,3.007513,0.425366,0.187994,5.875000,0.009336
